Side,eventType,timeMs,Qty,Price,eventSeq,eventID,bidEventID,askEventID
Buy,Limit,40,10000,3.7,0,2889,,
Buy,Limit,380,100,3.73,1,51570,,
Buy,Limit,400,600,3.6,2,52764,,
Buy,Limit,470,1300,3.72,3,59139,,
Buy,Limit,710,15000,3.65,4,75714,,
Buy,Limit,730,5000,3.7,5,77255,,
Buy,Limit,730,5000,3.59,6,77256,,
Sell,Limit,730,2000,3.9,7,77258,,
Buy,Limit,810,2000,3.7,8,82119,,
Sell,Limit,890,1000,3.96,9,87069,,
Sell,Limit,900,1000,3.95,10,87559,,
Sell,Limit,960,1000,3.94,11,91723,,
Sell,Limit,960,1000,3.93,12,91724,,
Sell,Limit,960,1000,3.92,13,91725,,
Sell,Limit,960,1000,3.91,14,91726,,
Sell,Limit,960,1000,3.9,15,91730,,
Sell,Limit,960,1000,3.89,16,91731,,
Sell,Limit,960,1000,3.88,17,91732,,
Sell,Limit,960,1000,3.87,18,91733,,
Buy,Limit,980,600,3.59,19,92617,,
Buy,Limit,1110,3500,3.6,20,100051,,
Sell,Limit,1170,3500,3.87,21,103002,,
Buy,Limit,1220,4700,3.71,22,104957,,
Buy,Limit,1470,100,3.68,23,113133,,
Sell,Limit,1830,2000,3.96,24,126266,,
Buy,Limit,2060,1000,3.58,25,133699,,
Sell,Limit,2180,2900,3.8,26,136635,,
Buy,Limit,2180,1000,3.77,27,136636,,
Buy,Limit,2820,2000,3.58,28,148709,,
Buy,Limit,2920,7200,3.58,29,150518,,
Sell,Limit,3500,500,3.86,30,157132,,
Buy,Limit,3500,500,3.71,31,157136,,
Buy,Limit,5100,1600,3.6,32,167415,,
Buy,Limit,54080,3000,3.58,33,181869,,
Buy,Limit,171190,3000,3.7,34,203690,,
Buy,Limit,185810,3500,3.7,35,207278,,
Buy,Limit,210440,1300,3.58,36,212900,,
Buy,Limit,216290,3000,3.7,37,214206,,
Buy,Limit,432460,100,3.6,38,264822,,
Sell,Limit,448290,200,3.96,39,269245,,
Buy,Limit,472040,1000,3.58,40,276005,,
Sell,Limit,488780,1000,3.96,41,280918,,
Sell,Limit,527370,10000,3.79,42,293575,,
Buy,Limit,542660,1000,3.71,43,298947,,
Buy,Limit,551010,100,3.58,44,302406,,
Buy,Limit,555430,1100,3.81,45,304403,,
Buy,Limit,576670,40400,3.77,46,314931,,
Sell,Limit,576740,2800,3.85,47,314966,,
Buy,Limit,582760,4000,3.7,48,318121,,
Sell,Limit,583930,5000,3.7,49,318788,,
Sell,Limit,584280,8500,3.81,50,318966,,
Buy,Limit,599540,1300,3.78,51,334352,,
"",Trade,600000,1100,3.77,52,343313,304403,318788
"",Trade,600000,1300,3.77,53,343314,334352,318788
"",Trade,600000,1000,3.77,54,343315,136636,318788
"",Trade,600000,1600,3.77,55,343316,314931,318788
Buy,Limit,900040,5000,3.73,56,384434,,
Sell,Limit,900040,1000,3.93,57,387148,,
Buy,Limit,900050,21200,3.79,58,388613,,
"",Trade,900050,10000,3.79,59,388614,388613,293575
Sell,Limit,900150,3100,3.92,60,416455,,
Buy,Limit,900170,5000,3.75,61,420886,,
Buy,Limit,900200,5000,3.7,62,429385,,
Buy,Limit,900230,600,3.72,63,434641,,
Buy,Limit,900250,2900,3.7,64,439389,,
Buy,Limit,900250,3300,3.7,65,439518,,
Sell,Limit,900320,500,3.88,66,450299,,
