Side,eventType,timeMs,Qty,Price,eventSeq,eventID,bidEventID,askEventID
Sell,Limit,60,2000,5.83,0,5771,,
Sell,Limit,70,5000,6.05,1,7407,,
Sell,Limit,100,47200,6.06,2,13093,,
Sell,Limit,120,900,5.98,3,16200,,
Sell,Limit,140,3000,6.06,4,20470,,
Sell,Limit,260,5000,5.93,5,39372,,
Sell,Limit,270,10000,6.06,6,40361,,
Sell,Limit,270,10000,6.05,7,40362,,
Sell,Limit,270,10000,5.99,8,40363,,
Sell,Limit,270,10000,5.89,9,40364,,
Sell,Limit,320,2200,6.06,10,45945,,
Buy,Limit,360,20000,5.58,11,49202,,
Sell,Limit,360,10000,5.89,12,49208,,
Sell,Limit,360,10000,5.9,13,49220,,
Sell,Limit,360,30000,5.98,14,49271,,
Buy,Limit,360,20000,5.59,15,49556,,
Sell,Limit,400,1200,5.87,16,52733,,
Buy,Limit,400,1000,5.66,17,52798,,
Sell,Limit,430,3000,6.06,18,55057,,
Buy,Limit,430,5300,5.7,19,55088,,
Sell,Limit,430,4000,6.06,20,55939,,
Sell,Limit,460,20000,5.99,21,58436,,
Buy,Limit,490,1100,5.64,22,60204,,
Buy,Limit,510,17400,5.73,23,62212,,
Buy,Limit,550,1100,5.66,24,65656,,
Buy,Limit,630,5400,5.48,25,71295,,
Buy,Limit,720,3300,5.71,26,76275,,
Sell,Limit,770,8000,6.06,27,79678,,
Sell,Limit,840,5700,6.06,28,83635,,
Buy,Limit,930,3000,5.62,29,89908,,
Sell,Limit,930,8000,6.06,30,90098,,
Sell,Limit,1210,10000,6.06,31,104549,,
Sell,Limit,1220,7300,6.06,32,105025,,
Buy,Limit,1330,10000,5.73,33,109085,,
Buy,Limit,1330,10000,5.7,34,109086,,
Buy,Limit,1470,3600,5.62,35,113107,,
Sell,Limit,1480,600,6.06,36,113534,,
Sell,Limit,1670,6100,5.83,37,120154,,
Buy,Limit,1720,32900,5.73,38,122127,,
Sell,Limit,1840,8900,5.88,39,126525,,
Sell,Limit,1880,3000,5.86,40,128243,,
Buy,Limit,1890,4000,5.55,41,128634,,
Sell,Limit,1910,300,6.06,42,129262,,
Sell,Limit,2270,1000,5.87,43,138356,,
Sell,Limit,2530,200,5.99,44,143829,,
Sell,Limit,2590,2000,5.84,45,144928,,
Sell,Limit,2590,3000,5.88,46,144929,,
Sell,Limit,2840,5000,6.06,47,148891,,
Buy,Limit,2880,3500,5.5,48,149573,,
Buy,Limit,2920,2000,5.66,49,150341,,
Buy,Limit,3270,4000,5.72,50,154786,,
Buy,Limit,3270,4000,5.71,51,154792,,
Buy,Limit,3270,4000,5.66,52,154795,,
Buy,Limit,3270,8000,5.6,53,154797,,
Buy,Limit,3350,400,5.48,54,155559,,
Sell,Limit,3410,200,5.77,55,156056,,
Sell,Limit,3420,8000,5.88,56,156083,,
Buy,Limit,3470,1800,5.59,57,156704,,
Buy,Limit,3880,1000,5.7,58,161466,,
Sell,Limit,3950,500,5.82,59,162269,,
Sell,Limit,5100,3500,5.99,60,167460,,
Sell,Limit,5100,3500,6.06,61,167462,,
Sell,Limit,5940,200,5.94,62,169944,,
Sell,Limit,5940,200,5.99,63,169946,,
Sell,Limit,5940,200,6.06,64,169947,,
Sell,Limit,5940,1000,5.92,65,169963,,
Sell,Limit,20180,100,5.5,66,177386,,
Sell,Cancel,20280,100,0.0,67,177408,0,0
Sell,Limit,22690,5000,6.05,68,177791,,
Sell,Limit,48950,17000,5.85,69,181148,,
Buy,Limit,57710,100,5.48,70,182390,,
Buy,Limit,63470,100,5.48,71,183265,,
Buy,Limit,66680,100,5.48,72,183790,,
