BidPrice1,BidVolume1,BidPrice2,BidVolume2,BidPrice3,BidVolume3,BidPrice4,BidVolume4,BidPrice5,BidVolume5,AskPrice1,AskVolume1,AskPrice2,AskVolume2,AskPrice3,AskVolume3,AskPrice4,AskVolume4,AskPrice5,AskVolume5,timeMs
5.77,10200.0,5.73,60300.0,5.72,9000.0,5.71,9400.0,5.7,19300.0,5.79,9800.0,5.81,3500.0,5.82,5100.0,5.83,11600.0,5.84,10100.0,900000
5.77,17800.0,5.75,5500.0,5.74,1600.0,5.73,68300.0,5.72,9000.0,5.79,9800.0,5.8,30000.0,5.81,11200.0,5.82,42900.0,5.83,8100.0,903000
5.77,17800.0,5.75,5500.0,5.74,11600.0,5.73,68300.0,5.72,9300.0,5.79,9800.0,5.8,30000.0,5.81,11200.0,5.82,44900.0,5.83,8100.0,906000
5.77,17800.0,5.75,5500.0,5.74,11600.0,5.73,68300.0,5.72,9300.0,5.79,9800.0,5.8,30000.0,5.81,11200.0,5.82,44900.0,5.83,8100.0,909000
5.77,17800.0,5.75,5500.0,5.74,11600.0,5.73,68300.0,5.72,9300.0,5.79,9800.0,5.8,30000.0,5.81,11200.0,5.82,44900.0,5.83,8100.0,912000
5.77,17800.0,5.75,5500.0,5.74,11600.0,5.73,68300.0,5.72,9300.0,5.79,9800.0,5.8,30000.0,5.81,11200.0,5.82,44900.0,5.83,8100.0,915000
5.78,200.0,5.77,17800.0,5.75,5500.0,5.74,11600.0,5.73,68300.0,5.79,9800.0,5.8,30000.0,5.81,11200.0,5.82,44900.0,5.83,8100.0,924000
5.78,200.0,5.77,17800.0,5.75,5500.0,5.74,26600.0,5.73,68300.0,5.79,9800.0,5.8,30000.0,5.81,11200.0,5.82,44900.0,5.83,8100.0,927000
5.77,17800.0,5.75,5500.0,5.74,26600.0,5.73,68300.0,5.72,9300.0,5.78,800.0,5.79,59300.0,5.8,30000.0,5.81,11200.0,5.82,44900.0,936000
5.77,17800.0,5.75,5500.0,5.74,26600.0,5.73,68300.0,5.72,9300.0,5.78,800.0,5.79,59300.0,5.8,30000.0,5.81,11200.0,5.82,44900.0,939000
5.77,6900.0,5.75,5500.0,5.74,26600.0,5.73,68300.0,5.72,9300.0,5.78,40600.0,5.79,59300.0,5.8,30000.0,5.81,11200.0,5.82,17100.0,942000
5.77,6900.0,5.75,5500.0,5.74,26600.0,5.73,68300.0,5.72,9300.0,5.78,40600.0,5.79,59300.0,5.8,30000.0,5.81,11200.0,5.82,17100.0,945000
5.77,6900.0,5.75,5700.0,5.74,26600.0,5.73,68300.0,5.72,9300.0,5.78,40600.0,5.79,59300.0,5.8,30000.0,5.81,11200.0,5.82,17100.0,951000
5.77,2400.0,5.75,5700.0,5.74,26600.0,5.73,68300.0,5.72,9300.0,5.78,68400.0,5.79,59300.0,5.8,30000.0,5.81,11200.0,5.82,17100.0,957000
5.77,2400.0,5.75,5700.0,5.74,26600.0,5.73,68300.0,5.72,9300.0,5.78,28400.0,5.79,59300.0,5.8,30000.0,5.81,11200.0,5.82,17100.0,960000
5.75,5700.0,5.74,26600.0,5.73,68300.0,5.72,9300.0,5.71,22400.0,5.76,36000.0,5.78,27900.0,5.79,59300.0,5.8,30000.0,5.81,11200.0,972000
5.75,5700.0,5.74,26600.0,5.73,68300.0,5.72,9300.0,5.71,22400.0,5.76,36000.0,5.78,27900.0,5.79,59300.0,5.8,30000.0,5.81,11200.0,975000
5.75,5700.0,5.74,26600.0,5.73,68300.0,5.72,9300.0,5.71,22400.0,5.76,34000.0,5.78,27900.0,5.79,59300.0,5.8,30000.0,5.81,11200.0,978000
5.75,5700.0,5.74,26600.0,5.73,68300.0,5.72,9300.0,5.71,22400.0,5.76,34000.0,5.78,27800.0,5.79,59300.0,5.8,30000.0,5.81,11200.0,990000
5.75,5700.0,5.74,26600.0,5.73,68300.0,5.72,9300.0,5.71,22400.0,5.76,33700.0,5.78,27800.0,5.79,59300.0,5.8,30000.0,5.81,11200.0,993000
