BidPrice1,BidVolume1,BidPrice2,BidVolume2,BidPrice3,BidVolume3,BidPrice4,BidVolume4,BidPrice5,BidVolume5,AskPrice1,AskVolume1,AskPrice2,AskVolume2,AskPrice3,AskVolume3,AskPrice4,AskVolume4,AskPrice5,AskVolume5,timeMs
3.79,11200.0,3.77,38800.0,3.73,5100.0,3.72,1300.0,3.71,6200.0,3.8,2900.0,3.81,8500.0,3.85,2800.0,3.86,500.0,3.87,4500.0,900000
3.78,2000.0,3.77,39100.0,3.75,5000.0,3.74,3000.0,3.73,12200.0,3.79,2700.0,3.8,2900.0,3.81,8500.0,3.84,3500.0,3.85,3800.0,903000
3.78,2000.0,3.77,39100.0,3.75,5000.0,3.74,6000.0,3.73,12200.0,3.79,2600.0,3.8,2900.0,3.81,8500.0,3.84,3500.0,3.85,5900.0,906000
3.78,2000.0,3.77,39100.0,3.75,5000.0,3.74,6000.0,3.73,12200.0,3.79,2600.0,3.8,2900.0,3.81,8500.0,3.84,3500.0,3.85,5900.0,909000
3.78,2000.0,3.77,39100.0,3.75,5000.0,3.74,6000.0,3.73,12200.0,3.79,2100.0,3.8,2900.0,3.81,8500.0,3.84,3500.0,3.85,5900.0,912000
3.78,2000.0,3.77,39100.0,3.75,5000.0,3.74,6000.0,3.73,12200.0,3.79,2100.0,3.8,2900.0,3.81,8500.0,3.84,10800.0,3.85,5900.0,924000
3.78,2000.0,3.77,39100.0,3.76,300.0,3.75,5000.0,3.74,6000.0,3.79,2100.0,3.8,2900.0,3.81,8500.0,3.84,10800.0,3.85,5900.0,942000
3.78,2000.0,3.77,44700.0,3.76,300.0,3.75,5000.0,3.74,6000.0,3.79,2100.0,3.8,2900.0,3.81,8500.0,3.84,10800.0,3.85,5900.0,945000
3.78,1700.0,3.77,44700.0,3.76,300.0,3.75,5000.0,3.74,6000.0,3.79,2100.0,3.8,2900.0,3.81,8500.0,3.84,10800.0,3.85,5900.0,951000
3.78,1700.0,3.77,44700.0,3.76,300.0,3.75,5000.0,3.74,6000.0,3.79,2100.0,3.8,2900.0,3.81,8500.0,3.84,10800.0,3.85,15700.0,957000
3.78,1700.0,3.77,44700.0,3.76,300.0,3.75,5000.0,3.74,6000.0,3.79,2100.0,3.8,2900.0,3.81,8500.0,3.83,1000.0,3.84,10800.0,963000
3.79,200.0,3.78,1700.0,3.77,44700.0,3.76,300.0,3.75,5000.0,3.8,2900.0,3.81,8500.0,3.83,1000.0,3.84,10800.0,3.85,15700.0,966000
3.79,200.0,3.78,1700.0,3.77,44700.0,3.76,300.0,3.75,5000.0,3.8,2900.0,3.81,8500.0,3.83,1000.0,3.84,10800.0,3.85,15700.0,969000
3.79,200.0,3.78,1700.0,3.77,44700.0,3.76,300.0,3.75,5000.0,3.8,2900.0,3.81,8500.0,3.83,1000.0,3.84,10800.0,3.85,15700.0,972000
3.79,200.0,3.78,1700.0,3.77,44700.0,3.76,300.0,3.75,5000.0,3.8,3900.0,3.81,8500.0,3.83,1000.0,3.84,10800.0,3.85,15700.0,975000
3.79,100.0,3.78,2200.0,3.77,50300.0,3.76,300.0,3.75,5000.0,3.8,3900.0,3.81,8500.0,3.83,1000.0,3.84,10800.0,3.85,15700.0,978000
3.79,100.0,3.78,2200.0,3.77,50300.0,3.76,300.0,3.75,5000.0,3.8,3900.0,3.81,8500.0,3.83,1000.0,3.84,10800.0,3.85,15700.0,981000
3.78,2200.0,3.77,50300.0,3.76,300.0,3.75,5000.0,3.74,6000.0,3.8,3900.0,3.81,9500.0,3.83,1000.0,3.84,10800.0,3.85,15700.0,987000
3.79,100.0,3.78,2100.0,3.77,50300.0,3.76,300.0,3.75,5000.0,3.8,3900.0,3.81,9500.0,3.83,1000.0,3.84,10800.0,3.85,15700.0,990000
3.78,2100.0,3.77,50300.0,3.76,300.0,3.75,5000.0,3.74,6000.0,3.8,3900.0,3.81,9500.0,3.83,1000.0,3.84,10800.0,3.85,15700.0,999000
3.79,100.0,3.78,2100.0,3.77,50300.0,3.76,300.0,3.75,5000.0,3.8,3300.0,3.81,9500.0,3.83,1000.0,3.84,10800.0,3.85,15700.0,1002000
3.78,2100.0,3.77,50300.0,3.76,300.0,3.75,5500.0,3.74,6000.0,3.8,3300.0,3.81,9500.0,3.83,1000.0,3.84,10800.0,3.85,15700.0,1008000
3.78,1800.0,3.77,50300.0,3.76,300.0,3.75,5500.0,3.74,6000.0,3.8,3300.0,3.81,9500.0,3.83,1000.0,3.84,10800.0,3.85,15700.0,1026000
3.78,1800.0,3.77,50300.0,3.76,300.0,3.75,5500.0,3.74,6000.0,3.79,200.0,3.8,3300.0,3.81,9500.0,3.83,1000.0,3.84,10800.0,1029000
3.78,1800.0,3.77,50300.0,3.76,300.0,3.75,6500.0,3.74,6000.0,3.79,200.0,3.8,3300.0,3.81,9500.0,3.83,1000.0,3.84,10800.0,1038000
3.78,1800.0,3.77,50300.0,3.76,300.0,3.75,6500.0,3.74,6000.0,3.79,200.0,3.8,3300.0,3.81,9500.0,3.82,1000.0,3.83,1000.0,1044000
3.79,34900.0,3.78,1700.0,3.77,50300.0,3.76,300.0,3.75,6500.0,3.8,3300.0,3.81,9500.0,3.82,1000.0,3.83,1000.0,3.84,10800.0,1050000
3.79,34300.0,3.78,1700.0,3.77,50300.0,3.76,300.0,3.75,6500.0,3.8,5500.0,3.81,9500.0,3.82,1000.0,3.83,1000.0,3.84,10800.0,1059000
3.79,34300.0,3.78,1700.0,3.77,50300.0,3.76,300.0,3.75,6500.0,3.8,5500.0,3.81,9500.0,3.82,1000.0,3.83,1000.0,3.84,10800.0,1065000
3.79,34200.0,3.78,1700.0,3.77,50300.0,3.76,300.0,3.75,6500.0,3.8,5500.0,3.81,9500.0,3.82,1000.0,3.83,1000.0,3.84,10800.0,1080000
3.79,34200.0,3.78,1700.0,3.77,50300.0,3.76,300.0,3.75,6500.0,3.8,7500.0,3.81,9500.0,3.82,1000.0,3.83,1000.0,3.84,10800.0,1083000
3.78,1700.0,3.77,50300.0,3.76,300.0,3.75,6500.0,3.74,6000.0,3.8,7500.0,3.81,9500.0,3.82,1000.0,3.83,1000.0,3.84,10800.0,1089000
3.77,50300.0,3.76,300.0,3.75,6500.0,3.74,6000.0,3.73,12200.0,3.78,3700.0,3.8,7500.0,3.81,9500.0,3.82,1000.0,3.83,1000.0,1092000
3.77,50300.0,3.76,300.0,3.75,6500.0,3.74,6000.0,3.73,12200.0,3.78,3700.0,3.8,7500.0,3.81,9500.0,3.82,1000.0,3.83,1000.0,1095000
3.77,50300.0,3.76,300.0,3.75,6500.0,3.74,6000.0,3.73,12200.0,3.78,3700.0,3.8,7500.0,3.81,9500.0,3.82,1000.0,3.83,1000.0,1110000
3.77,50300.0,3.75,6500.0,3.74,6000.0,3.73,12200.0,3.72,2500.0,3.78,3700.0,3.8,8500.0,3.81,9500.0,3.82,1000.0,3.83,1000.0,1113000
3.77,50300.0,3.75,6800.0,3.74,6000.0,3.73,12200.0,3.72,2500.0,3.78,3700.0,3.8,8500.0,3.81,9500.0,3.82,1000.0,3.83,1000.0,1122000
3.77,4500.0,3.76,2000.0,3.75,6800.0,3.74,6000.0,3.73,12200.0,3.78,3700.0,3.8,8500.0,3.81,9500.0,3.82,1000.0,3.83,1000.0,1128000
3.77,4500.0,3.76,2000.0,3.75,6800.0,3.74,6000.0,3.73,12200.0,3.78,1100.0,3.8,8500.0,3.81,9500.0,3.82,1000.0,3.83,1000.0,1131000
