Side,eventType,timeMs,Qty,Price,eventSeq,eventID,bidEventID,askEventID
Sell,Limit,30,600,8.69,0,729,,
Sell,Limit,40,1000,8.6,1,2121,,
Buy,Limit,50,1000,8.1,2,3077,,
Buy,Limit,50,1000,8.08,3,3300,,
Buy,Limit,50,1000,7.8,4,3628,,
Sell,Limit,60,500,8.43,5,6421,,
Sell,Limit,60,900,8.51,6,6422,,
Sell,Limit,60,700,8.67,7,6424,,
Sell,Limit,70,900,8.96,8,7609,,
Buy,Limit,70,100,8.02,9,8272,,
Sell,Limit,70,100,8.51,10,8273,,
Sell,Limit,80,500,9.19,11,9235,,
Sell,Limit,80,2700,9.0,12,9257,,
Buy,Limit,80,500,7.55,13,9297,,
Sell,Limit,80,20800,9.19,14,9691,,
Buy,Limit,90,400,8.0,15,10362,,
Buy,Limit,90,300,8.02,16,10816,,
Sell,Limit,90,1000,9.18,17,11281,,
Sell,Limit,100,10000,9.15,18,12157,,
Sell,Limit,100,2000,8.65,19,12158,,
Sell,Limit,100,4000,8.85,20,12159,,
Sell,Limit,100,4000,8.98,21,12162,,
Sell,Limit,100,1000,8.78,22,13228,,
Sell,Limit,100,1000,8.78,23,13243,,
Buy,Limit,100,1000,8.02,24,13253,,
Buy,Limit,100,1000,8.02,25,13261,,
Sell,Limit,100,1200,8.51,26,13355,,
Sell,Limit,100,1200,8.49,27,13356,,
Sell,Limit,100,1300,8.47,28,13357,,
Sell,Limit,100,1300,8.45,29,13358,,
Sell,Limit,100,700,8.59,30,13383,,
Buy,Limit,110,5000,8.18,31,14011,,
Buy,Limit,110,3000,8.21,32,14012,,
Buy,Limit,110,2000,8.23,33,14013,,
Buy,Limit,110,2000,8.15,34,14318,,
Buy,Limit,110,2000,7.65,35,14319,,
Buy,Limit,120,1000,7.77,36,15395,,
Buy,Limit,120,100,8.1,37,15693,,
Buy,Limit,130,20000,8.3,38,18091,,
Buy,Limit,130,1700,8.36,39,18164,,
Buy,Limit,130,1500,8.21,40,18757,,
Sell,Limit,130,7000,8.77,41,18869,,
Buy,Limit,130,11000,7.83,42,18897,,
Sell,Limit,140,700,8.69,43,19210,,
Sell,Limit,140,800,8.79,44,19234,,
Buy,Limit,140,4700,8.15,45,20082,,
Sell,Limit,160,1000,9.16,46,23593,,
Sell,Limit,160,1000,9.19,47,23596,,
Sell,Limit,160,1000,8.88,48,23597,,
Sell,Limit,160,400,8.5,49,23605,,
Sell,Limit,160,1400,8.77,50,24864,,
Buy,Limit,170,2000,8.26,51,25394,,
Sell,Limit,170,3000,9.18,52,25456,,
Sell,Limit,170,9700,9.03,53,25629,,
Buy,Limit,170,600,8.18,54,26681,,
Sell,Limit,170,7000,8.44,55,26964,,
Buy,Limit,180,2000,8.11,56,27843,,
Sell,Limit,180,4000,8.7,57,28134,,
Sell,Limit,180,500,9.18,58,28965,,
Buy,Limit,190,1000,8.13,59,29080,,
Sell,Limit,200,8000,8.65,60,30551,,
Sell,Limit,210,10000,9.02,61,32555,,
Sell,Limit,220,1800,9.19,62,34017,,
Buy,Limit,220,100,8.26,63,34242,,
Buy,Limit,220,100,8.18,64,34265,,
Buy,Limit,220,100,8.13,65,34382,,
Buy,Limit,220,200,8.08,66,34457,,
Buy,Limit,220,200,7.91,67,34529,,
Sell,Limit,220,900,9.15,68,34642,,
Buy,Limit,220,200,7.76,69,34653,,
Buy,Limit,230,300,7.72,70,34769,,
Buy,Limit,230,300,7.69,71,34862,,
Buy,Limit,230,400,7.66,72,35024,,
Buy,Limit,230,400,7.58,73,35094,,
Buy,Limit,230,500,7.54,74,35102,,
Buy,Limit,230,500,7.52,75,35233,,
Sell,Limit,240,600,8.49,76,36056,,
Sell,Limit,250,1600,8.9,77,37809,,
Sell,Limit,250,6500,9.16,78,37810,,
Buy,Limit,250,400,8.32,79,38037,,
Sell,Limit,250,2000,9.16,80,38332,,
Buy,Limit,260,200,8.22,81,39873,,
Buy,Limit,260,300,8.12,82,39875,,
Buy,Limit,260,300,8.02,83,39885,,
Buy,Limit,270,1000,7.95,84,40577,,
Buy,Limit,270,1000,8.0,85,40802,,
Sell,Limit,280,100,8.91,86,41539,,
Sell,Limit,280,100,8.97,87,41540,,
Sell,Limit,280,100,9.01,88,41552,,
Sell,Limit,280,100,9.07,89,41553,,
Sell,Limit,280,100,9.11,90,41598,,
Buy,Limit,280,100,8.21,91,41824,,
Buy,Limit,280,100,8.16,92,41825,,
Buy,Limit,280,100,8.11,93,41826,,
Buy,Limit,280,100,8.06,94,41827,,
Buy,Limit,280,100,8.01,95,41828,,
Sell,Limit,280,1000,8.65,96,42053,,
Sell,Limit,280,8500,8.95,97,42191,,
Sell,Limit,290,12500,8.75,98,43185,,
Sell,Limit,300,100,9.17,99,43648,,
Buy,Limit,300,2500,8.19,100,43669,,
Buy,Limit,310,2000,8.18,101,44605,,
Buy,Limit,310,2000,8.2,102,44606,,
Buy,Limit,310,2000,8.23,103,44607,,
Buy,Limit,310,1800,8.26,104,44608,,
Buy,Limit,310,1000,8.28,105,44611,,
Sell,Limit,320,100,9.19,106,45759,,
Sell,Limit,330,5700,9.19,107,47130,,
Sell,Limit,340,1000,9.19,108,47706,,
Buy,Limit,350,500,8.26,109,48614,,
Sell,Limit,360,300,8.52,110,49835,,
Buy,Limit,360,20000,8.27,111,50024,,
Sell,Limit,370,300,8.81,112,50751,,
Buy,Limit,390,3500,7.9,113,51809,,
Buy,Limit,390,20000,8.25,114,51982,,
Sell,Limit,390,40000,8.4,115,51988,,
Sell,Limit,390,100000,8.4,116,52035,,
Sell,Limit,400,2000,8.48,117,53099,,
Sell,Limit,400,2000,8.61,118,53100,,
Sell,Limit,400,2000,8.72,119,53101,,
Sell,Limit,400,2000,8.84,120,53102,,
Sell,Limit,420,100,8.68,121,54174,,
Sell,Limit,420,100,8.76,122,54175,,
Sell,Limit,420,100,8.86,123,54176,,
Sell,Limit,420,100,8.98,124,54177,,
Sell,Limit,420,100,9.09,125,54178,,
Sell,Limit,420,200,9.18,126,54179,,
Sell,Limit,420,600,9.11,127,54332,,
Sell,Limit,420,4800,8.6,128,54672,,
Sell,Limit,420,2000,8.88,129,54903,,
Sell,Limit,420,100,9.19,130,55009,,
Sell,Limit,430,900,9.19,131,55607,,
Sell,Limit,440,1500,8.98,132,56333,,
Buy,Limit,440,5000,8.0,133,56388,,
Sell,Limit,440,100,8.5,134,56466,,
Sell,Limit,450,500,9.18,135,57009,,
Sell,Limit,450,300,9.19,136,57145,,
Buy,Limit,450,500,7.56,137,57151,,
Buy,Limit,470,400,8.27,138,58790,,
Sell,Limit,470,1000,8.57,139,59391,,
Sell,Limit,470,1000,8.67,140,59397,,
Sell,Limit,470,1000,8.77,141,59398,,
Sell,Limit,470,400,8.45,142,59410,,
Buy,Limit,470,10000,8.2,143,59430,,
Buy,Limit,470,10000,8.3,144,59431,,
Buy,Limit,470,20000,8.1,145,59432,,
Buy,Limit,470,20000,8.0,146,59433,,
Sell,Limit,480,2000,8.9,147,59944,,
Buy,Limit,490,1000,8.18,148,60682,,
Sell,Limit,490,1200,8.66,149,60762,,
Sell,Limit,490,1200,8.99,150,60764,,
Sell,Limit,490,1200,9.19,151,60776,,
Buy,Limit,500,1300,8.13,152,60951,,
Buy,Limit,500,3200,7.8,153,61176,,
Sell,Limit,500,3100,9.19,154,61177,,
